vent 44.992 66.341 3.258
backpack 76.432 63.412 1.2
phone 59.452 49.622 0.107
vent 73.49 39.124 1.88
gas 64.853 20.755 0.015
survivor 70.46 -4.344 0.537
backpack 55.618 7.283 3.513
gas 31.919 -4.233 0.029
backpack 5.889 17.099 4.034
survivor 4.066 59.599 0.497
gas 54.884 69.967 -8.334
backpack 59.9 57.253 -7.704
survivor 63.08 46.347 -7.817
phone 48.141 9.537 -7.45
backpack 68.34 -4.38 -7.579
vent -3.834 -0.066 -6.266
phone 13.595 29.306 -8.004
backpack 1.404 37.404 -5.967
vent 14.954 61.194 -6.294
phone 48.668 -1.651 0.958
